,Filename,UtteranceName,Speaker,Text,Start,End,Length
25,AA-ML-MP,12_Adult1_AA-ML-MP,Adult1,"C'est une bonne question ça Morgane. Comment te dire ? Alors non, on le range pas dans une pièce particulière mais en même temps on n'a pas trop intérêt à le laisser traîner un peu partout.",125.0,141.0,36
27,AA-ML-MP,13_Adult1_AA-ML-MP,Adult1,"Oui, souvent euh enfin la plupart du temps, oui.",141.0,145.0,9
29,AA-ML-MP,14_Adult1_AA-ML-MP,Adult1,Non.,145.0,152.0,1
31,AA-ML-MP,15_Adult1_AA-ML-MP,Adult1,"Oui, oui, oui. C'est même assez petit pour aller avec des clés.",152.0,159.0,12
33,AA-ML-MP,16_Adult1_AA-ML-MP,Adult1,"Non, pas tout à fait .",159.0,165.0,6
35,AA-ML-MP,17_Adult1_AA-ML-MP,Adult1,"Oui, si, c'était ça.",165.0,167.0,4
37,AA-ML-MP,18_Adult1_AA-ML-MP,Adult1,"C'était, c'était ce mot, le badge. ",167.0,171.0,6
39,AA-ML-MP,19_Adult1_AA-ML-MP,Adult1,"Badge, c'est ça. Bravo ! Tu as, pas, tu as pas mis trop longtemps hein. C'est bien.",171.0,182.0,17
41,AA-ML-MP,20_Adult1_AA-ML-MP,Adult1,"Euh oui, c'est, maintenant c'est toi qui penses à un mot. J'espère que je vais réussir à le deviner au moins sous 10 minutes. ",182.0,192.0,24
43,AA-ML-MP,21_Adult1_AA-ML-MP,Adult1,"Qui peut être euh pas forcément concret d'ailleurs hein, enfin, ce, enfin voilà. Pas forcément à voir avec un objet concret.",192.0,201.0,21
45,AA-ML-MP,22_Adult1_AA-ML-MP,Adult1,"Ok. Donc est-ce que c'est un concept qui n'est, qui n'a pas à voir avec un objet concret ?",201.0,218.0,19
46,AA-ML-MP,23_Adult1_AA-ML-MP,Adult1,Oh la la .,218.0,228.0,4
48,AA-ML-MP,24_Adult1_AA-ML-MP,Adult1,Ça peut être les deux ?,228.0,232.0,6
50,AA-ML-MP,25_Adult1_AA-ML-MP,Adult1,"Ben tu veux dire que c'est un mot qui a plusieurs sens, polysémique ?",232.0,252.0,14
53,AA-ML-MP,26_Adult1_AA-ML-MP,Adult1,Est-ce que c'est un concept qui a à voir avec des émotions ?,252.0,258.0,13
55,AA-ML-MP,27_Adult1_AA-ML-MP,Adult1,"Je comprends pas. Si c'est un mot qui a un seul sens, qui a un mot concret mais qui peut aussi être un concept, je suis complètement perdue. Est-ce que c'est euh un mot féminin ?",258.0,269.0,36
57,AA-ML-MP,28_Adult1_AA-ML-MP,Adult1,Ok.,269.0,280.0,1
59,AA-ML-MP,29_Adult1_AA-ML-MP,Adult1,Ok.,280.0,288.0,1
61,AA-ML-MP,30_Adult1_AA-ML-MP,Adult1,"C'est une entité, d'accord. Un groupe quoi par exemple ? Ça peut être un groupe social.",288.0,298.0,16
63,AA-ML-MP,31_Adult1_AA-ML-MP,Adult1,"C'est pas un être vivant hein, on est d'accord ?",298.0,312.0,10
65,AA-ML-MP,32_Adult1_AA-ML-MP,Adult1,À quoi euh Ulysse ?,312.0,314.0,5
69,AA-ML-MP,33_Adult1_AA-ML-MP,Adult1,"Non, mais ça aurait été, ça aurait été possible hein pour moi de la trouver mais c'est clair que, c'est euh, non, alors c'était une personne plus et.",315.0,327.0,28
71,AA-ML-MP,34_Adult1_AA-ML-MP,Adult1,Et forcément.,327.0,341.0,2
73,AA-ML-MP,35_Adult1_AA-ML-MP,Adult1,"Oui euh, mais c'était bien trouvé hein, vas-y cherche.",341.0,349.0,9
75,AA-ML-MP,36_Adult1_AA-ML-MP,Adult1,"Ok, donc est-ce que c'est un objet ?",349.0,354.0,8
77,AA-ML-MP,37_Adult1_AA-ML-MP,Adult1,"Ah oh, ça c'est facile, alors ça devrait être facile pour moi. Est-ce que c'est un instrument de musique ?",354.0,378.0,20
80,AA-ML-MP,38_Adult1_AA-ML-MP,Adult1,"J'aimerais bien ouais, ouais, je trouve que ça devrait être étudié, ça, comment on cherche le mot dans des devinettes. . Ok. Donc c'est un objet qu'on utilise au quotidien ?",378.0,393.0,31
82,AA-ML-MP,39_Adult1_AA-ML-MP,Adult1,"Ah non, pas du tout. C'est un objet qu'on trouve dans une maison ?",393.0,403.0,14
84,AA-ML-MP,40_Adult1_AA-ML-MP,Adult1,C'est pas vraiment sa place mais c'est suffisamment petit pour rentrer dans une maison en tout cas.,403.0,421.0,17
87,AA-ML-MP,41_Adult1_AA-ML-MP,Adult1,"Construit par un humain, oui, oui.",421.0,428.0,6
88,AA-ML-MP,42_Adult1_AA-ML-MP,Adult1,"Ah ça peut être construit par un humain et une machine, un humain ou une machine, ok. Et ça sert à quelque chose dans la vie ou c'est juste un objet euh ?",428.0,436.0,33
90,AA-ML-MP,43_Adult1_AA-ML-MP,Adult1,"Seulement esthétique. Ok euh, ça sert à se déplacer par exemple ?",436.0,445.0,12
92,AA-ML-MP,44_Adult1_AA-ML-MP,Adult1,"Est-ce que c'est, c'est c'est suffisamment petit pour être mis dans un sac ?",445.0,456.0,14
94,AA-ML-MP,45_Adult1_AA-ML-MP,Adult1,Ok. Et ça se trouve dehors plutôt alors pas vraiment dans les maisons ?,456.0,464.0,14
96,AA-ML-MP,46_Adult1_AA-ML-MP,Adult1,"Ah, dans un lieu de travail par exemple, dans un hôpital, ou ?",464.0,473.0,13
98,AA-ML-MP,47_Adult1_AA-ML-MP,Adult1,"D'accord. Ben je sais pas, alors ça sert à travailler quoi.",473.0,496.0,11
101,AA-ML-MP,48_Adult1_AA-ML-MP,Adult1,"Non pas du tout. Ah. C'est plutôt, c'est, c'est plutôt quelque chose avec du papier par exemple ?",496.0,506.0,18
103,AA-ML-MP,49_Adult1_AA-ML-MP,Adult1,"Ah non plus. Attends, je vais encore poser une question. Si je trouve pas, je pense que on peut passer à autre chose. Euh, sur un lieu de travail mais par exemple dans un laboratoire de recherche, tu veux dire hein ?",506.0,525.0,42
105,AA-ML-MP,50_Adult1_AA-ML-MP,Adult1,Ah. Mais sur n'importe quel lieu de travail ou sur un lieu de travail spécifique ?,525.0,534.0,16
107,AA-ML-MP,51_Adult1_AA-ML-MP,Adult1,"Ah d'accord. Ça je peux pas trouver alors. Ok, donc il faut que je trouve euh cette, le, le, l'endroit, un magasin ?",534.0,571.0,23
110,AA-ML-MP,52_Adult1_AA-ML-MP,Adult1,Ok. Genre c'était quoi ?,571.0,586.0,5
112,AA-ML-MP,53_Adult1_AA-ML-MP,Adult1,"Non, non, mais c'est bien euh, mais une bouée de sauvetage, c'était, c'était un bon mot, OK. Euh ben là je me dirais que ça fait, ça doit faire pas loin de 10 minutes qu'on parle. Euh donc on peut passer à la deuxième phase si tu veux. Euh, donc la deuxième phase, c'est plus de savoir ben qu'est-ce que tu as pensé de ce jeu avec moi ? Tu as trouvé ça amusant ?",586.0,627.0,75
115,AA-ML-MP,54_Adult1_AA-ML-MP,Adult1,Ah c'est vrai ?,627.0,653.0,4
117,AA-ML-MP,55_Adult1_AA-ML-MP,Adult1,"Et ça doit être vraiment amusant parce que moi en général je joue avec mes enfants donc forcément euh, enfin bon maintenant on joue moins, quoi c'est le jeu typique de quand on s'ennuie en voiture quoi. Donc ça c'est vraiment, il y a ça et puis après euh ben moi j'invente des histoires dans la voiture donc c'est le jeu des mots clés quoi où elle donne deux mots, un mot clé chacune et du coup à partir de ces deux mots, on crée une histoire quoi. Mais ça, On jouait beaucoup quand elles étaient petites mais c'est vrai qu'après du coup tu restes toujours sur des mots très basiques, très concrets. Mais là où ça doit être amusant c'est quand justement, ouais, tu arrives à partir dans des, des choses vraiment très très très abstraites. Ça, ça doit être beaucoup plus difficile et beaucoup plus marrant. Et à vrai dire, moi j'ai jamais pensé à jouer avec des adultes, c'est bien la première fois que ça m'arrive donc c'est plutôt, c'est plutôt étonnant en fait parce que du coup euh, c'est un jeu qui est assez rigolo finalement pour, pour un peu sonder la pensée de l'autre quoi.",653.0,734.0,200
119,AA-ML-MP,56_Adult1_AA-ML-MP,Adult1,"Oui, oui.",734.0,754.0,2
121,AA-ML-MP,57_Adult1_AA-ML-MP,Adult1,"Hum, ouais, c'est fascinant tout ce ce que tu peux faire. Non on jouait aussi beaucoup à ""dans ma valise"". Et donc chacun rajoute à son tour, tu sais on fait des tours, ""alors dans ma valise il y a une guitare"" et ""dans ma valise il y a une guitare et des clés et un vieil éléphant euh tout pourri et euh"".",754.0,771.0,63
123,AA-ML-MP,58_Adult1_AA-ML-MP,Adult1,"Et après tu complexifies tous les trucs et donc l'autre il doit se rappeler à chaque fois de la suite, c'est pas, c'est très rigolo aussi. On passe euh, on a passé pas mal de temps à faire ça. Mais maintenant moi mes filles elles sont grandes donc euh oui, elles sont pas.",771.0,785.0,53
125,AA-ML-MP,59_Adult1_AA-ML-MP,Adult1,"Euh la plus grande elle a bientôt, elle a 13 ans et demi. Et du coup euh elle est, elle vit un peu dans un monde parallèle au mien. Et la plus petite, elle a 9 ans, enfin elle va, non là elle va avoir 10 ans dans deux jours, elle, elle va 10 ans donc euh euh même elle en fait, elle s'ennuie plus trop en voiture. Et puis de toute façon, en ce moment hein, on n'a pas trop l'occasion de faire des longues routes . Donc finalement c'est dommage, peut-être on a perdu quelque chose en, dans les interactions qu'on peut avoir euh, je sais pas. Parce que en, en plus c'est, ces choses-là on les perd euh parce que ben maintenant dans les voitures modernes, il y a des DVD et de, les enfants, ils ont leur téléphone portable, ils ont leur auto, où tu vois, ils ont leur propre autonomie finalement euh. Enfin pas chez moi parce qu'on n'a pas une voiture suffisamment moderne. Mais en tout cas y a, et donc ça, ben c'est vrai que les gens le font peut-être un peu moins et.",785.0,870.0,191
127,AA-ML-MP,60_Adult1_AA-ML-MP,Adult1,"Oui, oui . Ben ouais, bon écoute voilà, après euh, je pense qu'on peut parler d'autres, d'autres sujets que, que simplement ce jeu hein euh, le but c'est je pense que voilà, on discute euh de tout et rien.",870.0,887.0,39
129,AA-ML-MP,61_Adult1_AA-ML-MP,Adult1,"Ben je pense une dizaine de minutes euh au total, Enfin encore une dizaine de minutes, enfin, merde, pardon . On a le droit de dire des gros mots ? Euh c'est juste euh au total il faut que ça fasse une vingtaine de minutes je pense.",887.0,902.0,47
131,AA-ML-MP,62_Adult1_AA-ML-MP,Adult1,"Donc voilà, euh, on peut encore discuter deux, trois minutes et ça ira je pense pour Kubra et, et voilà. Donc tu as l'air d'avoir, d'avoir un, un appartement hyper lumineux .",902.0,919.0,32
133,AA-ML-MP,63_Adult1_AA-ML-MP,Adult1,Ah.,919.0,922.0,1
135,AA-ML-MP,64_Adult1_AA-ML-MP,Adult1,"Ah, à Aix !",922.0,924.0,4
137,AA-ML-MP,65_Adult1_AA-ML-MP,Adult1,Ah ouais chic.,924.0,933.0,3
138,AA-ML-MP,66_Adult1_AA-ML-MP,Adult1,Ouais.,933.0,940.0,1
140,AA-ML-MP,67_Adult1_AA-ML-MP,Adult1,"Ouais, ouais tout à fait. Et, et puis surtout, dans des, dans des coins comme le nôtre où c'est, on a de la chance de pouvoir avoir de la lumière tout le temps, il faut en profiter, c'est clair. Oui, ça a l'air très joli hein, c'est beau.",940.0,960.0,48
142,AA-ML-MP,68_Adult1_AA-ML-MP,Adult1,Ok.,960.0,975.0,1
144,AA-ML-MP,69_Adult1_AA-ML-MP,Adult1,Ah ben c'est l'occasion de mettre beaucoup de.,975.0,979.0,8
146,AA-ML-MP,70_Adult1_AA-ML-MP,Adult1,"Beaucoup de jolies affiches, oui.",979.0,982.0,5
148,AA-ML-MP,71_Adult1_AA-ML-MP,Adult1,"Et c'est parce que tu, tu es euh en stage à Aix, c'est ça ?",982.0,991.0,15
150,AA-ML-MP,72_Adult1_AA-ML-MP,Adult1,"Ah tu travailles avec Elin, d'accord. Ouais, y a du monde au LPL euh, ça, y a des gens qui vont travailler ou tu fais plutôt du télétravail ?",991.0,1025.0,29
152,AA-ML-MP,73_Adult1_AA-ML-MP,Adult1,"Oui. Ok. Ben écoute, c'est cool que ça se passe bien alors. Ça a l'air chouette tout ça. Bon, super, eh ben écoute, je pense que c'est bon euh, on a fini.",1025.0,1037.6,32
1,AA-ML-MP,74_Adult2_AA-ML-MP,Adult2,Ça va.,2.0,4.0,2
3,AA-ML-MP,75_Adult2_AA-ML-MP,Adult2,"Euh, bien, ça va, je suis en stage en ce moment donc je fais des transcriptions, euh des fichiers audio et sinon tout va bien.",4.0,20.0,25
5,AA-ML-MP,76_Adult2_AA-ML-MP,Adult2,"Oui, Kubra m'a dit ce que c'était et enfin si c'est le jeu que je pense, c'est mon jeu préféré.",20.0,26.0,20
7,AA-ML-MP,77_Adult2_AA-ML-MP,Adult2,Oui.,26.0,27.0,1
11,AA-ML-MP,78_Adult2_AA-ML-MP,Adult2,"Euh le but c'est faire de deviner un mot à l'autre qui peut être un, un mot ou une suite de mots donc je crois que c'est, ça peut.",33.0,46.0,29
13,AA-ML-MP,79_Adult2_AA-ML-MP,Adult2,"Bon, d'accord.",46.0,60.0,2
14,AA-ML-MP,80_Adult2_AA-ML-MP,Adult2,Ok.,60.0,82.0,1
16,AA-ML-MP,81_Adult2_AA-ML-MP,Adult2,Euh est-ce que c'est animé ?,82.0,87.0,6
18,AA-ML-MP,82_Adult2_AA-ML-MP,Adult2,Est-ce que c'est vivant ?,87.0,92.0,5
20,AA-ML-MP,83_Adult2_AA-ML-MP,Adult2,Est-ce que c'est euh quelque chose qu'on peut toucher ?,92.0,104.0,10
22,AA-ML-MP,84_Adult2_AA-ML-MP,Adult2,"Euh, est-ce que c'est quelque chose que je peux avoir chez moi ?",104.0,115.0,13
24,AA-ML-MP,85_Adult2_AA-ML-MP,Adult2,est-ce que c'est quelque chose qu'on range dans une pièce euh particulière ou ça traîne un peu partout ?,115.0,136.0,19
26,AA-ML-MP,86_Adult2_AA-ML-MP,Adult2,Est-ce que c'est un truc qu'on prend avec nous quand on sort de chez nous ?,136.0,143.0,16
28,AA-ML-MP,87_Adult2_AA-ML-MP,Adult2,Est-ce que c'est nos clés ?,143.0,148.0,6
30,AA-ML-MP,88_Adult2_AA-ML-MP,Adult2,"Euh est-ce que ça se range dans un, est-ce que c'est assez petit pour aller dans, dans un sac, un sac à main ?",148.0,157.0,24
32,AA-ML-MP,89_Adult2_AA-ML-MP,Adult2,Un porte-clés.,157.0,163.0,2
34,AA-ML-MP,90_Adult2_AA-ML-MP,Adult2,"Euh, un badge pour euh.",163.0,167.0,5
38,AA-ML-MP,91_Adult2_AA-ML-MP,Adult2,"Pour ouvrir des, des portes.",169.0,176.0,5
40,AA-ML-MP,92_Adult2_AA-ML-MP,Adult2,"Non, c'est, ça allait. Est-ce que je vais en, entièrement du coup ? Enfin, est-ce que je dois en, penser à un mot ?",176.0,190.0,24
42,AA-ML-MP,93_Adult2_AA-ML-MP,Adult2,"Euh, j'ai, si.",190.0,199.0,3
44,AA-ML-MP,94_Adult2_AA-ML-MP,Adult2,"Ok, c'est bon, j'ai.",199.0,219.0,4
47,AA-ML-MP,95_Adult2_AA-ML-MP,Adult2,"Oui, c'est c'est, il est un peu compliqué. On va le garder. Je veux dire que oui. C'est enfin euh, oui et non en, en fait c'est.",219.0,229.0,27
49,AA-ML-MP,96_Adult2_AA-ML-MP,Adult2,"Oui, c'est un peu les deux.",229.0,235.0,6
51,AA-ML-MP,97_Adult2_AA-ML-MP,Adult2,"Non. Euh, c'est concret mais c'est aussi.",235.0,251.0,7
52,AA-ML-MP,98_Adult2_AA-ML-MP,Adult2,. C'est pas si compliqué que ça mais euh.,251.0,255.0,9
54,AA-ML-MP,99_Adult2_AA-ML-MP,Adult2,Non.,255.0,266.0,1
56,AA-ML-MP,100_Adult2_AA-ML-MP,Adult2,Non.,266.0,272.0,1
58,AA-ML-MP,101_Adult2_AA-ML-MP,Adult2,"Mais peut-être en fait que je l'ai mal catégorisé à la base, y a, mais non, ça peut, c'est un concept et c'est concret en même temps.",272.0,281.0,27
60,AA-ML-MP,102_Adult2_AA-ML-MP,Adult2,"Bon, on va dire que c'est pas vraiment un concept mais euh, c'est une entité concrète. Mais ça reste un peu un concept.",281.0,290.0,23
62,AA-ML-MP,103_Adult2_AA-ML-MP,Adult2,"Euh, non. ",290.0,304.0,2
64,AA-ML-MP,104_Adult2_AA-ML-MP,Adult2,"Peut-être qu'on va chan, en fait, est-ce que je peux dire mon mot et peut-être qu'on va changer parce que sinon enfin je crois que j'aurais pas dû ? C'était euh Ulysse.",304.0,313.0,32
66,AA-ML-MP,105_Adult2_AA-ML-MP,Adult2,Oui.,313.0,314.0,1
68,AA-ML-MP,106_Adult2_AA-ML-MP,Adult2,Donc je sais pas trop si c'est.,314.0,326.0,7
70,AA-ML-MP,107_Adult2_AA-ML-MP,Adult2,Mais je sais pas si il a vraiment existé.,326.0,330.0,9
72,AA-ML-MP,108_Adult2_AA-ML-MP,Adult2,"Parce que pour moi c'est à la fois un, un, enfin c'était un, un concept mais ça pouvait être concret du coup, c'est enfin quelqu'un pouvait l'incarner euh, bon, je vais trouver un autre mot.",330.0,347.0,35
74,AA-ML-MP,109_Adult2_AA-ML-MP,Adult2,"C'est bon, j'ai.",347.0,352.0,3
76,AA-ML-MP,110_Adult2_AA-ML-MP,Adult2,Oui.,352.0,358.0,1
78,AA-ML-MP,111_Adult2_AA-ML-MP,Adult2,Non.,358.0,371.0,1
79,AA-ML-MP,112_Adult2_AA-ML-MP,Adult2,"Oui, moi c'est pareil c'est des trucs qui sont autour mais euh, oui mais dont j'en ai, euh j'en ai en, en petit paquet. Mais non, c'est pas un instrument de musique.",371.0,390.0,32
81,AA-ML-MP,113_Adult2_AA-ML-MP,Adult2,"Euh, non.",390.0,399.0,2
83,AA-ML-MP,114_Adult2_AA-ML-MP,Adult2,On peut le trouver dans une maison. C'est pas vraiment sa place.,399.0,407.0,12
85,AA-ML-MP,115_Adult2_AA-ML-MP,Adult2,Oui.,407.0,418.0,1
86,AA-ML-MP,116_Adult2_AA-ML-MP,Adult2,Ça veut dire construit de façon euh avec les mains ?,418.0,435.0,11
89,AA-ML-MP,117_Adult2_AA-ML-MP,Adult2,"Oui, oui, oui, ça a une utilité.",435.0,442.0,7
91,AA-ML-MP,118_Adult2_AA-ML-MP,Adult2,Non.,442.0,450.0,1
93,AA-ML-MP,119_Adult2_AA-ML-MP,Adult2,"Euh, ça peut être mis dans un sac mais c'est un gros sac, pas ceux qu'on transporte habituellement.",450.0,461.0,18
95,AA-ML-MP,120_Adult2_AA-ML-MP,Adult2,Euh pas plus dehors que dans une maison.,461.0,469.0,8
97,AA-ML-MP,121_Adult2_AA-ML-MP,Adult2,Euh alors pas en hôpital mais possiblement dans un lieu de travail.,469.0,479.0,12
99,AA-ML-MP,122_Adult2_AA-ML-MP,Adult2,Non.,479.0,495.0,1
100,AA-ML-MP,123_Adult2_AA-ML-MP,Adult2,Non.,495.0,504.0,1
102,AA-ML-MP,124_Adult2_AA-ML-MP,Adult2,"Non, non plus.",504.0,523.0,3
104,AA-ML-MP,125_Adult2_AA-ML-MP,Adult2,"Non, non, non, pas du tout.",523.0,532.0,6
106,AA-ML-MP,126_Adult2_AA-ML-MP,Adult2,"Non, un lieu de travail spécifique.",532.0,541.0,6
108,AA-ML-MP,127_Adult2_AA-ML-MP,Adult2,"Ça, ça se vend dans un magasin mais c'est pas son, enfin il est pas utilisé dans un magasin. Il se vend simplement.",541.0,570.0,23
109,AA-ML-MP,128_Adult2_AA-ML-MP,Adult2,Non.,570.0,583.0,1
111,AA-ML-MP,129_Adult2_AA-ML-MP,Adult2,"Ah oui c'est vrai, bon, bouée, ça, ça, ça marche aussi mais euh.",583.0,602.0,13
113,AA-ML-MP,130_Adult2_AA-ML-MP,Adult2,Ok.,602.0,608.0,1
114,AA-ML-MP,131_Adult2_AA-ML-MP,Adult2,"Oui, ben comme j'ai dit tout à l'heure, c'est un de mes jeux préférés, je trouve ça, alors après ça dépend, ben là, c'est, c'est un mot peut-être un peu stressant parce que euh je, j'ai pas forcément l'habitude euh d'y jouer avec vous mais euh, ben par exemple, j'y joue très souvent avec mon copain et on a une routine assez euh.",608.0,628.0,63
116,AA-ML-MP,132_Adult2_AA-ML-MP,Adult2,"Ouais, on catégorise des choses. En fait on, en règle générale, est-ce que c'est a, a, animé ou inanimé, est-ce que c'est vivant ou pas vivant, et partant de là on essaye de, mais il en, souvent il, il fait référence à des musiques euh ou alors à des accords ou des euh trucs comme ça. Et ça, euh, au début j'avais un peu du mal à, enfin à me sortir des objets concrets en fait mais euh oui, non, je trouve ça vraiment ",628.0,717.0,84
118,AA-ML-MP,133_Adult2_AA-ML-MP,Adult2,"Ouais je trouve. Je pense qu'il y a des études qui pourraient t'être faites là-dessus parce que euh, enfin ça dit énormément de choses sur la façon dont la personne réfléchit et euh catégorise son, son environnement en fait. Enfin on, j'imagine qu'on le fait tous plus ou moins de la même manière mais euh, mais oui c'est fou.",717.0,735.0,59
120,AA-ML-MP,134_Adult2_AA-ML-MP,Adult2,"Moi j'ai un jeu auquel je jouais dans la voiture, c'était euh, on appelait ça le boulgi boulga, et apparemment ça s'appelle blougi boulga mais j'ai appris ça y a, y a très peu de temps. Et y a, le but c'était de faire des recettes improbables avec plein de trucs qu'on voyait euh enfin sur le voyage. Et euh mes parents ils nous tenaient comme ça euh pendant des longues heures de voiture.",735.0,770.0,74
122,AA-ML-MP,135_Adult2_AA-ML-MP,Adult2,.,770.0,784.0,1
124,AA-ML-MP,136_Adult2_AA-ML-MP,Adult2,Elles ont quel âge ?,784.0,844.0,5
126,AA-ML-MP,137_Adult2_AA-ML-MP,Adult2,"Et je suis d'accord et en même temps je connais personne qui a encore de euh, d'écran à l'arrière pour les enfants, enfin alors j'ai connu une ou deux personnes mais euh je sais pas, c'est, enfin je trouve ça cool de garder le, cette tradition de, enfin, d'occuper les enfants avec des jeux vraiment tout bêtes. Et puis en plus quand on est gosse, dans la voiture, euh, on est émerveillé par absolument tout ce qui nous entoure, enfin je me souviens quand il pleuvait ou quand on voyait la lune et cetera la nuit, enfin il y avait tout qui était, qui était étrange quoi.",844.0,886.0,107
128,AA-ML-MP,138_Adult2_AA-ML-MP,Adult2,Ça doit durer combien de temps ?,886.0,901.0,7
130,AA-ML-MP,139_Adult2_AA-ML-MP,Adult2,D'accord.,901.0,917.0,1
132,AA-ML-MP,140_Adult2_AA-ML-MP,Adult2,"Ouais, on a déménagé il y a pas longtemps.",917.0,919.0,9
134,AA-ML-MP,141_Adult2_AA-ML-MP,Adult2,"On, j'habitais à Marseille et je suis revenu sur Aix.",919.0,923.0,10
136,AA-ML-MP,142_Adult2_AA-ML-MP,Adult2,"Et euh, ouais.",923.0,933.0,3
139,AA-ML-MP,143_Adult2_AA-ML-MP,Adult2,"Parce qu'être, habiter dans une cave euh enfin je trouve, c'est, c'est com, surtout en mettant confiné et cetera, c'est euh, c'est un peu compliqué.",933.0,954.0,25
141,AA-ML-MP,144_Adult2_AA-ML-MP,Adult2,"Ben ouais c'est, c'est cool. C'est encore euh très mal aménagé, les murs sont pas d'une très très jolie couleur.",954.0,960.0,20
143,AA-ML-MP,145_Adult2_AA-ML-MP,Adult2,"Mais euh, enfin je vais pas m'amuser à repeindre parce que c'est une location mais bon. Il y a des fois, enfin, et tous les murs sont très très beaux, et il y a juste en face, bah du coup on peut pas le voir, c'est un espèce d'aubergine, mais vraiment très très moche, aubergine marron euh un peu dégueulasse.",960.0,978.0,60
145,AA-ML-MP,146_Adult2_AA-ML-MP,Adult2,De posters.,978.0,980.0,2
147,AA-ML-MP,147_Adult2_AA-ML-MP,Adult2,"Ouais, c'est ça.",980.0,988.0,3
149,AA-ML-MP,148_Adult2_AA-ML-MP,Adult2,Oui je suis au LDL je travaille avec Elin.,988.0,993.0,9
151,AA-ML-MP,149_Adult2_AA-ML-MP,Adult2,"Et euh tu fais, enfin on a fait des expérience en ligne donc ça c'était euh, enfin j'ai codé chez moi et cetera. Mais sinon oui je suis plus ou moins rattachée au LDL et euh, et c'est super pro.",993.0,1037.6,40
0,AA-MG-CH,0_Adult1_AA-MG-CH,Adult1,"Je mets en plein écran, voilà. gros mots. Je vois plus rien du coup hop!",1.0,15.0,15
2,AA-MG-CH,1_Adult1_AA-MG-CH,Adult1,"Ok, c'est bon. Ok, bon, ça va bien.",15.0,26.0,8
4,AA-MG-CH,2_Adult1_AA-MG-CH,Adult1,"Ok, donc là, faut qu'on n'interagisse pendant 10 minutes. Et l'idée, c'est de faire un jeu dans lequel chacune à notre tour, on pense à un mot et l'autre doit deviner quel mot c'est. C'est bon, on l'a fait avec les enfants et que là, on fait comme ça. Donc deviner en posant des questions n'importe quelle question.",26.0,55.0,58
6,AA-MG-CH,3_Adult1_AA-MG-CH,Adult1,"Oui, non. On peut avoir d'autres réponses. En fait, c'est vrai qu'on est plus habitué à jouer par oui et non, mais c'est amusant. Là, j'ai donc oui. C'est vrai que la je m'étais trompé aussi, mais là, dans la règle de ce jeu là, il faut, on peut répondre n'importe quoi.",55.0,81.0,52
8,AA-MG-CH,4_Adult1_AA-MG-CH,Adult1,"Non, non, pas un moins avec la gestion, mais. Ok, je commence, ça y est, je pensais un mot. Ouais, c'est moi.",81.0,96.0,22
10,AA-MG-CH,5_Adult1_AA-MG-CH,Adult1,Oui.,96.0,101.0,1
12,AA-MG-CH,6_Adult1_AA-MG-CH,Adult1,"Oui, tout à fait.",101.0,109.0,4
14,AA-MG-CH,7_Adult1_AA-MG-CH,Adult1,Oui.,109.0,117.0,1
16,AA-MG-CH,8_Adult1_AA-MG-CH,Adult1,Non normalement que dans une pièce.,117.0,123.0,6
18,AA-MG-CH,9_Adult1_AA-MG-CH,Adult1,Non.,123.0,128.0,1
20,AA-MG-CH,10_Adult1_AA-MG-CH,Adult1,Non.,128.0,133.0,1
22,AA-MG-CH,11_Adult1_AA-MG-CH,Adult1,Non.,133.0,135.0,1
